title,release_date,popularity,vote_average,genre_ids,genre_names,type
Downton Abbey,26/09/2010,452.201,8.095,[18],Drama,tvshow
Dallas,02/04/1978,451.661,6.6,"[10766, 18, 10751]",Drama,tvshow
Dallas,13/06/2012,38.294,6.9,[18],Drama,tvshow
X-Men '97,20/03/2024,451.43,8.72,"[16, 10759, 10765]","Animation, Action & Adventure, Sci-Fi & Fantasy",tvshow
Bluey,01/10/2018,448.836,8.639,"[16, 10762, 35]","Animation, Kids, Comedy",tvshow
The Wire,02/06/2002,442.254,8.558,"[80, 18]","Crime, Drama",tvshow
The Handmaid's Tale,26/04/2017,438.707,8.182,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
Narcos,28/08/2015,438.696,8.014,"[80, 18]","Crime, Drama",tvshow
Teen Mom OG,08/12/2009,434.402,6.2,[10764],Reality,tvshow
The Strain,13/07/2014,433.652,7.475,"[10765, 18, 9648]","Sci-Fi & Fantasy, Drama, Mystery",tvshow
Foundation,23/09/2021,431.938,7.834,"[10765, 18]","Sci-Fi & Fantasy, Drama",tvshow
King of the Hill,12/01/1997,431.201,7.319,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
King of the Hill,12/01/1997,431.201,7.319,"[16, 35, 10751]","Animation, Comedy, Family",tvshow
Babylon 5,26/01/1994,431.11,8.073,"[18, 10765]","Drama, Sci-Fi & Fantasy",tvshow
The Originals,03/10/2013,430.273,8.597,"[10765, 18, 9648]","Sci-Fi & Fantasy, Drama, Mystery",tvshow
Project Runway,01/12/2004,429.973,6.1,[10764],Reality,tvshow
The Resident,21/01/2018,429.955,8.459,[18],Drama,tvshow
Rick and Morty,02/12/2013,429.753,8.7,"[16, 35, 10765, 10759]","Animation, Comedy, Sci-Fi & Fantasy, Action & Adventure",tvshow
The Mandalorian,12/11/2019,429.628,8.443,"[10765, 10759, 18]","Sci-Fi & Fantasy, Action & Adventure, Drama",tvshow
Lost in Space,13/04/2018,427.074,7.559,"[10765, 10759, 18, 35]","Sci-Fi & Fantasy, Comedy",tvshow
Lost in Space,13/04/2018,427.074,7.559,"[10765, 10759, 18, 35]","Sci-Fi & Fantasy, Comedy",tvshow
